127.0.0.1 - - [08/Jul/2022:14:14:34 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:41 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_flat_0_4c4c4c_40x100.png?ln=primefaces-trontastic HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:42 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_40_0a0a0a_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:42 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:43 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_60_000000_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=284B5C75C865F96F3BF1519F79F9154B HTTP/1.1" 200 28385
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css?ln=css HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:48 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:53 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:53 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_diagonals-small_50_262626_40x40.png?ln=primefaces-trontastic HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:56 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 16337
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:56 -0300] "GET /Farmacia/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=4.0 HTTP/1.1" 200 27245
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:14:56 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_glass_55_f1fbe5_1x400.png?ln=primefaces-trontastic HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:15:00 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:15:43 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_ffffff_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:15:43 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:15:50 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 16244
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:15:55 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=284B5C75C865F96F3BF1519F79F9154B HTTP/1.1" 200 28369
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:15:59 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:16:11 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 16254
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:16:14 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_000000_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:19:18 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=284B5C75C865F96F3BF1519F79F9154B HTTP/1.1" 200 28385
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:19:19 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:19:21 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:19:56 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=284B5C75C865F96F3BF1519F79F9154B HTTP/1.1" 200 28385
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:19:57 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:19:59 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:22 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml;jsessionid=284B5C75C865F96F3BF1519F79F9154B HTTP/1.1" 200 28385
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:23 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:25 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:28 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28380
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:30 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:31 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:45 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28487
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:46 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:21:58 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 16337
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:22:00 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:23:49 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:24:04 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:24:08 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28517
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:24:10 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:24:12 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:27:24 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:27:28 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 16337
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:27:29 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:28:32 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28517
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:28:33 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:28:38 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:31:24 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 28135
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:32:34 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4883
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:32:41 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:36:58 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4883
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:37:38 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 13987
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:40:08 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 29765
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:40:10 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:40:25 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:41:51 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4179
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:41:59 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:43:00 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 29808
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:43:01 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:43:15 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 14005
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:07 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 29818
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:08 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:12 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 14088
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:13 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:13 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4883
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:19 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 14234
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:21 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:43 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4927
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:43 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_95_f6ecd5_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:43 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_cd0a0a_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:47 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:51 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4927
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:49:54 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:09 -0300] "GET /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 29818
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:11 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4883
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:12 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:14 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 4883
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:15 -0300] "POST /Farmacia/faces/pages/produtos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:25 -0300] "GET /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 28517
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:26 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:27 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:28 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:53:29 -0300] "POST /Farmacia/faces/pages/fornecedores.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [08/Jul/2022:14:56:26 -0300] "GET /Farmacia/faces/pages/principal.xhtml HTTP/1.1" 200 10479
